informative_lh,prior,lh,left_pred,red_observation,run
True,0.4,0.8,0.68,True,32
False,0.7,0.5,0.65,False,32
True,0.5,0.2,0.75,True,33
False,0.8,0.4,0.75,True,33
True,0.6,0.8,0.72,False,34
False,0.8,0.5,0.72,False,34
True,0.5,0.3,0.62,True,35
False,0.1,0.5,0.65,True,35
True,0.5,0.2,0.75,True,36
False,0.9,0.5,0.87,True,36
True,0.6,0.7,0.75,True,37
False,0.7,0.5,0.75,False,37
True,0.5,0.2,0.75,False,38
False,0.2,0.5,0.78,False,38
True,0.5,0.8,0.75,True,39
False,0.2,0.5,0.78,True,39
True,0.5,0.1,0.75,False,40
False,0.2,0.5,0.75,True,40
True,0.4,0.3,0.68,True,41
False,0.1,0.6,0.72,False,41
True,0.5,0.1,0.75,False,42
False,0.1,0.5,0.6,True,42
True,0.4,0.9,0.78,True,43
False,0.7,0.5,0.75,False,43
True,0.5,0.2,0.75,False,44
False,0.9,0.4,0.84,False,44
True,0.4,0.9,0.78,True,45
False,0.3,0.4,0.68,True,45
True,0.6,0.8,0.72,True,46
False,0.9,0.5,0.77,True,46
True,0.4,0.9,0.65,True,47
False,0.9,0.6,0.78,True,47
True,0.6,0.2,0.75,False,48
False,0.3,0.6,0.68,True,48
True,0.5,0.1,0.68,False,49
False,0.9,0.6,0.84,True,49
True,0.6,0.8,0.65,False,50
False,0.7,0.5,0.75,False,50
True,0.6,0.8,0.72,True,51
False,0.2,0.6,0.72,True,51
True,0.5,0.8,0.75,False,52
False,0.9,0.5,0.78,True,52
True,0.5,0.2,0.75,False,53
False,0.1,0.4,0.68,True,53
True,0.5,0.7,0.7,True,54
False,0.7,0.5,09,False,54
True,0.4,0.8,0.68,False,55
False,0.9,0.6,0.75,False,55
True,0.6,0.8,0.68,False,56
False,0.9,0.6,0.78,False,56
True,0.6,0.3,0.67,True,57
False,0.2,0.4,0.75,False,57
True,0.5,0.2,0.75,True,58
False,0.9,0.5,0.75,False,58
True,0.5,0.1,0.75,False,59
False,0.1,0.5,0.65,False,59
True,0.4,0.9,0.6,False,60
False,0.8,0.6,0.68,False,60
True,0.4,0.9,0.68,True,61
False,0.7,0.6,0.68,False,61
True,0.6,0.7,0.75,True,62
False,0.3,0.5,0.67,False,62
True,0.4,0.7,0.75,True,63
False,0.3,0.6,0.72,True,63
True,0.4,0.9,0.72,False,64
False,0.1,0.4,0.78,False,64
True,0.4,0.9,0.65,False,65
False,0.9,0.6,0.78,False,65
True,0.6,0.3,0.72,True,66
False,0.2,0.5,0.75,True,66
True,0.5,0.2,0.68,True,67
False,0.1,0.5,0.72,False,67
True,0.4,0.2,0.68,False,68
False,0.8,0.6,0.72,True,68
True,0.5,0.7,0.7,False,69
False,0.8,0.6,0.75,False,69
True,0.5,0.7,0.65,False,70
False,0.1,0.6,0.72,False,70
True,0.5,0.1,0.75,True,71
False,0.2,0.5,0.65,True,71
True,0.5,0.1,0.75,True,72
False,0.7,0.5,0.6,False,72
True,0.5,0.9,0.75,False,73
False,0.9,0.4,0.78,True,73
True,0.5,0.3,0.75,True,74
False,0.1,0.5,0.68,True,74
True,0.5,0.8,0.62,False,75
False,0.2,0.4,0.75,False,75
True,0.5,0.1,0.62,False,76
False,0.8,0.6,0.72,True,76
True,0.4,0.9,0.78,True,77
False,0.1,0.4,0.65,False,77
True,0.5,0.7,0.75,False,78
False,0.2,0.4,0.68,True,78
True,0.6,0.1,0.72,False,79
False,0.7,0.6,0.76,True,79
True,0.5,0.1,0.69,True,80
False,0.9,0.5,0.78,True,80
True,0.4,0.7,0.75,False,81
False,0.2,0.6,0.78,False,81
True,0.4,0.8,0.68,True,82
False,0.2,0.5,0.67,True,82
True,0.5,0.9,0.75,True,83
False,0.1,0.4,0.65,True,83
True,0.6,0.7,0.75,False,84
False,0.3,0.5,0.7,True,84
True,0.5,0.7,0.75,True,85
False,0.8,0.5,0.78,True,85
True,0.6,0.2,0.72,False,86
False,0.7,0.4,0.75,True,86
True,0.5,0.7,0.63,True,87
False,0.8,0.6,0.72,True,87
True,0.5,0.3,0.7,True,88
False,0.2,0.4,0.68,True,88
True,0.5,0.7,0.77,True,89
False,0.2,0.5,0.78,True,89
True,0.6,0.8,0.72,True,90
False,0.3,0.6,0.65,True,90
True,0.6,0.8,0.72,False,91
False,0.3,0.6,0.68,False,91
True,0.5,0.7,0.75,True,92
False,0.1,0.5,0.65,True,92
True,0.6,0.3,0.65,False,93
False,0.9,0.5,0.75,False,93
True,0.4,0.3,0.67,True,94
False,0.3,0.6,0.65,False,94
True,0.5,0.9,0.75,False,95
False,0.3,0.6,0.68,True,95
True,0.5,0.1,0.75,True,96
False,0.2,0.6,0.72,True,96
True,0.4,0.3,0.68,False,97
False,0.8,0.5,0.78,True,97
True,0.4,0.7,0.68,True,98
False,0.9,0.5,0.77,False,98
True,0.6,0.8,0.68,False,99
False,0.8,0.5,0.68,False,99
True,0.4,0.8,0.72,False,100
False,0.8,0.5,0.75,False,100
True,0.4,0.1,0.68,False,101
False,0.8,0.4,0.78,True,101
True,0.5,0.1,0.75,True,102
False,0.9,0.4,0.78,True,102
True,0.4,0.9,0.78,True,103
False,0.9,0.6,0.78,False,103
True,0.6,0.3,0.67,True,104
False,0.8,0.6,0.72,False,104
True,0.6,0.2,0.68,False,105
False,0.7,0.4,67,True,105
True,0.5,0.8,0.72,False,106
False,0.7,0.6,22,True,106
True,0.5,0.2,0.75,False,107
False,0.7,0.4,0.68,True,107
True,0.5,0.1,0.75,False,108
False,0.8,0.5,0.62,False,108
True,0.4,0.8,0.75,False,109
False,0.3,0.4,0.68,True,109
True,0.6,0.9,0.77,True,110
False,0.3,0.4,0.68,False,110
True,0.4,0.9,0.78,True,111
False,0.2,0.5,0.65,False,111
True,0.5,0.8,0.68,False,112
False,0.2,0.5,0.6,True,112
True,0.4,0.1,0.65,False,113
False,0.2,0.5,0.78,False,113
True,0.6,0.9,0.78,True,114
False,0.9,0.4,0.78,True,114
True,0.4,0.2,0.72,True,115
False,0.7,0.5,0.75,True,115
True,0.4,0.7,0.68,True,116
False,0.8,0.5,0.7,False,116
True,0.6,0.3,0.72,True,117
False,0.9,0.6,0.75,False,117
True,0.5,0.8,0.75,True,118
False,0.7,0.5,0.65,False,118
True,0.5,0.2,0.68,False,119
False,0.7,0.5,83,True,119
True,0.4,0.8,0.72,False,120
False,0.9,0.5,0.78,True,120
True,0.6,0.1,0.75,False,121
False,0.1,0.4,0.6,False,121
True,0.6,0.3,0.67,False,122
False,0.9,0.5,0.78,False,122
True,0.5,0.8,0.72,True,123
False,0.9,0.6,0.77,True,123
True,0.4,0.3,0.75,False,124
False,0.7,0.5,0.75,True,124
True,0.5,0.7,0.75,True,125
False,0.9,0.4,0.78,False,125
True,0.6,0.7,0.72,True,126
False,0.3,0.6,0.68,False,126
True,0.5,0.2,0.62,True,127
False,0.9,0.5,0.78,False,127
True,0.5,0.8,0.62,False,128
False,0.7,0.4,0.74,True,128
True,0.4,0.7,0.68,False,129
False,0.7,0.5,0.65,False,129
True,0.5,0.7,0.75,False,130
False,0.8,0.4,0.65,False,130
True,0.5,0.9,0.75,False,131
False,0.7,0.5,0.75,False,131
True,0.4,0.1,0.75,False,132
False,0.8,0.5,0.78,True,132
True,0.5,0.3,0.75,True,133
False,0.9,0.6,0.78,True,133
True,0.6,0.9,0.77,False,134
False,0.7,0.5,0.65,True,134
True,0.6,0.9,0.65,False,135
False,0.8,0.4,0.72,False,135
True,0.5,0.1,0.75,True,136
False,0.8,0.6,0.72,True,136
True,0.6,0.3,0.77,True,137
False,0.2,0.6,0.72,False,137
True,0.5,0.8,0.75,True,138
False,0.8,0.6,0.75,True,138
True,0.6,0.1,0.75,True,139
False,0.7,0.4,0.65,False,139
True,0.4,0.3,0.68,True,140
False,0.2,0.4,0.68,True,140
True,0.5,0.2,0.75,True,141
False,0.8,0.5,0.78,False,141
True,0.4,0.7,0.63,True,142
False,0.9,0.5,0.86,False,142
True,0.5,0.8,0.7,False,143
False,0.3,0.6,0.68,False,143
True,0.6,0.1,0.75,False,144
False,0.9,0.4,0.84,False,144
True,0.4,0.3,0.6,False,145
False,0.3,0.5,0.65,False,145
True,0.5,0.7,0.68,False,146
False,0.8,0.4,0.72,False,146
True,0.4,0.3,0.75,True,147
False,0.2,0.6,0.68,True,147
True,0.5,0.2,0.68,True,148
False,0.3,0.5,0.77,True,148
True,0.6,0.9,0.65,False,149
False,0.2,0.4,0.75,True,149
True,0.4,0.1,0.75,False,150
False,0.1,0.6,0.72,False,150
True,0.4,0.2,0.72,False,151
False,0.3,0.5,0.78,False,151
True,0.4,0.1,0.68,True,152
False,0.7,0.5,0.75,True,152
True,0.6,0.8,0.68,False,153
False,0.7,0.4,0.68,False,153
True,0.5,0.7,0.7,True,154
False,0.8,0.5,0.75,True,154
True,0.5,0.3,0.65,True,155
False,0.1,0.5,0.62,False,155
True,0.5,0.1,0.75,True,156
False,0.9,0.5,0.78,True,156
True,0.5,0.3,0.75,True,157
False,0.3,0.5,0.75,False,157
True,0.6,0.2,0.72,False,158
False,0.2,0.4,0.68,False,158
True,0.5,0.7,0.75,True,159
False,0.1,0.5,0.42,False,159
True,0.6,0.7,0.75,True,160
False,0.1,0.4,0.68,False,160
True,0.5,0.1,0.75,True,161
False,0.1,0.6,0.44,False,161
True,0.6,0.8,0.68,False,162
False,0.2,0.5,0.68,False,162
True,0.5,0.1,0.69,False,163
False,0.3,0.4,0.75,False,163
True,0.5,0.7,0.75,True,164
False,0.2,0.5,0.62,False,164
True,0.5,0.1,0.75,False,165
False,0.8,0.5,0.75,False,165
True,0.4,0.1,0.68,True,166
False,0.3,0.5,0.75,True,166
True,0.5,0.3,0.68,False,167
False,0.8,0.5,0.68,False,167
True,0.5,0.8,0.72,False,168
False,0.7,0.4,72,True,168
True,0.5,0.2,0.68,False,169
False,0.2,0.4,0.65,False,169
True,0.4,0.1,0.67,True,170
False,0.7,0.5,0.66,False,170
True,0.5,0.7,0.75,False,171
False,0.7,0.6,0.75,True,171
True,0.6,0.2,0.72,False,172
False,0.2,0.4,0.68,True,172
True,0.4,0.1,0.75,True,173
False,0.7,0.5,0.68,False,173
True,0.6,0.2,0.64,True,174
False,0.3,0.5,0.65,True,174
True,0.6,0.7,0.77,False,175
False,0.7,0.4,0.74,False,175
True,0.6,0.2,0.68,False,176
False,0.3,0.5,0.7,True,176
True,0.5,0.3,0.68,True,177
False,0.1,0.5,0.65,True,177
True,0.4,0.8,0.65,False,178
False,0.1,0.5,0.77,False,178
True,0.4,0.7,0.68,True,179
False,0.1,0.6,0.75,False,179
True,0.4,0.8,0.68,False,180
False,0.7,0.5,0.75,True,180
True,0.5,0.8,0.75,True,181
False,0.7,0.4,0.65,True,181
True,0.5,0.1,0.62,False,182
False,0.9,0.6,0.77,False,182
True,0.6,0.9,0.78,True,183
False,0.2,0.4,0.65,True,183
True,0.5,0.2,0.62,False,184
False,0.7,0.4,0.75,True,184
True,0.4,0.3,0.65,True,185
False,0.8,0.5,0.75,True,185
True,0.5,0.1,0.75,True,186
False,0.2,0.4,0.78,True,186
True,0.5,0.1,0.6,False,187
False,0.9,0.5,0.78,False,187
True,0.4,0.3,0.78,True,188
False,0.7,0.6,0.68,True,188
True,0.5,0.1,0.75,True,189
False,0.7,0.5,0.75,False,189
True,0.5,0.3,0.75,True,190
False,0.9,0.5,0.85,True,190
True,0.5,0.8,0.65,False,191
False,0.8,0.5,0.65,False,191
True,0.4,0.9,0.6,False,192
False,0.2,0.4,0.78,False,192
True,0.5,0.3,0.75,True,193
False,0.7,0.5,0.75,False,193
True,0.5,0.1,0.75,True,194
False,0.2,0.4,0.68,True,194
True,0.5,0.9,0.75,False,195
False,0.2,0.5,0.65,True,195
True,0.6,0.2,0.72,True,196
False,0.1,0.5,0.65,True,196
True,0.4,0.9,0.75,True,197
False,0.3,0.5,0.7,True,197
True,0.6,0.7,0.75,True,198
False,0.9,0.6,0.75,True,198
True,0.4,0.9,0.78,False,199
False,0.9,0.4,0.68,False,199
